Global,,57882183,7414.793685982413,4060891,604943,1377395,176.44634704091493,67221,9237,
United States of America,Americas,11789012,35616.07,1147581,191033,252460,762.71,9918,1853,Community transmission
India,South-East Asia,9095806,6591.14,281227,45209,133227,96.54,3592,501,Clusters of cases
Brazil,Americas,6020164,28322.26,209512,38397,168613,793.25,3876,552,Community transmission
France,Europe,2089353,32009.2,171008,17854,48170,737.97,4257,253,Community transmission
Russian Federation,Europe,2089329,14316.9,163504,24581,36179,247.91,2993,401,Clusters of cases
Spain,Europe,1556730,33295.63,64540,0,42619,911.54,1191,0,Community transmission
The United Kingdom,Europe,1493387,21998.45,149027,19875,54626,804.67,2860,340,Community transmission
Italy,Europe,1380531,22833.1,235979,34764,49261,814.75,4578,692,Clusters of cases
Argentina,Americas,1359042,30070.11,62664,9608,36790,814.01,1745,258,Community transmission
Colombia,Americas,1233444,24240.84,50747,7954,34929,686.46,1260,168,Community transmission
Mexico,Americas,1025969,7957.4,28576,6426,100823,781.98,3199,719,Community transmission
Peru,Americas,946087,28693.78,13437,2170,35484,1076.19,378,38,Community transmission
Germany,Europe,918269,10959.96,127766,15741,14022,167.36,1537,138,Clusters of cases
Poland,Europe,843475,22286.67,152357,24213,13288,351.1,3243,574,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,841308,10016.41,91783,12931,44327,527.75,3293,431,Community transmission
South Africa,Africa,765409,12905.51,16227,2646,20845,351.47,639,86,Community transmission
Ukraine,Europe,624744,14285.16,88887,12079,10951,250.4,1348,138,Community transmission
Belgium,Europe,556808,48043.67,19148,2,15522,1339.3,970,12,Community transmission
Chile,Americas,539143,28203.46,9467,1558,15030,786.24,253,27,Community transmission
Iraq,Eastern Mediterranean,533555,13265.09,16640,1786,11925,296.48,302,42,Community transmission
Indonesia,South-East Asia,493308,1803.53,30301,4998,15774,57.67,626,96,Community transmission
Czechia,Europe,490750,45826.02,32521,3187,7095,662.53,1037,74,Community transmission
Netherlands,Europe,478678,27935.9,36751,6062,8858,516.96,426,48,Community transmission
Bangladesh,South-East Asia,445281,2703.76,14785,1847,6350,38.56,177,28,Community transmission
Turkey,Europe,440805,5226.58,29750,5532,12219,144.88,801,135,Community transmission
Philippines,Western Pacific,416852,3804.05,10515,1785,8080,73.74,289,55,Community transmission
Romania,Europe,412808,21458.29,59623,9685,9916,515.45,1103,160,Community transmission
Pakistan,Eastern Mediterranean,371508,1681.85,17047,2843,7603,34.42,494,42,Clusters of cases
Saudi Arabia,Eastern Mediterranean,355034,10198.06,2084,221,5761,165.48,120,16,Sporadic cases
Israel,Europe,327327,37817.07,3871,0,2744,317.02,13,0,Community transmission
Morocco,Eastern Mediterranean,320962,8695.67,32751,4702,5256,142.4,559,74,Clusters of cases
Canada,Americas,320719,8497.63,33401,4968,11334,300.3,506,69,Community transmission
Switzerland,Europe,289483,33448.37,29038,0,3567,412.15,546,0,Community transmission
Portugal,Europe,255970,25103.2,44704,6472,3824,375.02,519,62,Clusters of cases
Austria,Europe,240909,26748.65,42693,6239,2155,239.27,526,58,Community transmission
Nepal,South-East Asia,218639,7503.88,10340,1674,1305,44.79,90,7,Clusters of cases
Sweden,Europe,208295,20624.77,23307,0,6406,634.3,99,0,Community transmission
Ecuador,Americas,184876,10478.68,5249,1036,13139,744.71,142,44,Community transmission
Jordan,Eastern Mediterranean,178161,17461.4,36856,3826,2172,212.88,468,56,Community transmission
Hungary,Europe,174618,18075.74,33657,4320,3800,393.36,703,111,Community transmission
Kazakhstan,Europe,166625,8874.03,5377,913,2365,125.95,0,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,157785,15953.35,8650,1262,548,55.41,20,1,Community transmission
Panama,Americas,152289,35294.84,7812,1200,2932,679.53,76,10,Community transmission
Bolivia (Plurinational State of),Americas,143854,12323.63,785,98,8900,762.44,65,11,Community transmission
Kuwait,Eastern Mediterranean,139734,32720.21,3393,426,863,202.08,28,2,Community transmission
Dominican Republic,Americas,137770,12700.14,4545,986,2308,212.76,26,2,Community transmission
Qatar,Eastern Mediterranean,137062,47573.58,1492,174,235,81.57,1,0,Community transmission
Japan,Western Pacific,130179,1029.27,13502,2514,1974,15.61,91,11,Clusters of cases
Costa Rica,Americas,129418,25405.38,7295,1187,1608,315.66,71,9,Community transmission
Armenia,Europe,126224,42596.57,8887,1385,1952,658.74,189,21,Community transmission
Belarus,Europe,123999,13122.53,11129,3152,1096,115.99,57,15,Community transmission
Oman,Eastern Mediterranean,121360,23765.2,1918,0,1365,267.3,39,0,Community transmission
Bulgaria,Europe,120697,17370.36,23262,2279,2820,405.85,729,42,Clusters of cases
Guatemala,Americas,118417,6609.73,3698,660,4074,227.4,154,7,Community transmission
Serbia,Europe,116125,16675.61,35039,5774,1168,167.73,179,28,Community transmission
Lebanon,Eastern Mediterranean,115242,16884.17,10975,1628,894,130.98,88,10,Community transmission
Egypt,Eastern Mediterranean,112676,1101.06,2129,358,6535,63.86,93,14,Clusters of cases
Ethiopia,Africa,105352,916.39,3031,473,1636,14.23,71,16,Community transmission
Georgia,Europe,104732,26254.1,25054,4048,976,244.66,273,49,Community transmission
Honduras,Americas,104179,10518.24,2100,628,2855,288.25,35,2,Community transmission
Croatia,Europe,100410,24458.82,18566,3573,1304,317.64,298,47,Community transmission
Venezuela (Bolivarian Republic of),Americas,99017,3482.11,2576,352,866,30.45,22,3,Community transmission
Republic of Moldova,Europe,96689,23968.74,7917,1306,2130,528.02,124,19,Community transmission
Slovakia,Europe,95257,17447.48,9690,1861,644,117.96,134,30,Clusters of cases
China,Western Pacific,92648,62.97,220,60,4749,3.23,0,0,Clusters of cases
Greece,Europe,90121,8646.31,17611,2309,1527,146.5,492,108,Community transmission
Azerbaijan,Europe,89898,8866.4,16469,2735,1107,109.18,161,28,Clusters of cases
Tunisia,Eastern Mediterranean,87471,7401.12,8132,1206,2752,232.85,473,68,Community transmission
Bahrain,Eastern Mediterranean,85591,50301.04,1068,124,338,198.64,5,0,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,82780,16226.87,8430,1486,698,136.82,65,14,Community transmission
Bosnia and Herzegovina,Europe,79309,24173.54,8409,1315,2246,684.59,389,37,Community transmission
Myanmar,South-East Asia,77848,1430.77,11114,1434,1722,31.65,188,27,Clusters of cases
Libya,Eastern Mediterranean,76808,11178.1,4180,0,1068,155.43,73,0,Community transmission
Kenya,Africa,76404,1420.91,7131,1211,1366,25.4,117,17,Community transmission
Paraguay,Americas,75058,10523.32,4666,563,1647,230.91,91,11,Community transmission
Algeria,Africa,73774,1682.38,7799,1019,2258,51.49,133,19,Community transmission
Uzbekistan,Europe,71552,2137.85,1450,272,603,18.02,5,0,Clusters of cases
Ireland,Europe,70143,14205.35,2617,341,2022,409.5,44,4,Community transmission
Denmark,Europe,69635,12022.2,8557,1273,781,134.84,24,3,Community transmission
Kyrgyzstan,Europe,69581,10665.07,3077,432,1231,188.68,32,4,Clusters of cases
Nigeria,Africa,66228,321.28,1232,246,1166,5.66,3,1,Community transmission
Slovenia,Europe,64284,30921.56,10162,1704,657,316.03,157,13,Clusters of cases
Singapore,Western Pacific,58148,9939.25,32,5,28,4.79,0,0,Clusters of cases
Malaysia,Western Pacific,53679,1658.5,7470,1041,332,10.26,26,3,Clusters of cases
North Macedonia,Europe,53631,25742.3,7569,1182,1487,713.74,206,25,Community transmission
Ghana,Africa,50874,1637.24,856,243,323,10.39,3,0,Community transmission
Puerto Rico,Americas,46434,16230.82,4662,1099,1012,353.74,91,21,Community transmission
Lithuania,Europe,44740,16434.7,11353,1983,374,137.38,108,17,Community transmission
Afghanistan,Eastern Mediterranean,44503,1143.2,1468,60,1675,43.03,70,14,Clusters of cases
El Salvador,Americas,37250,5742.96,892,0,1070,164.97,31,6,Community transmission
Kosovo[1],Europe,33545,18031.25,4972,711,894,480.55,95,19,Community transmission
Albania,Europe,32196,11187.72,4963,737,685,238.03,73,13,Clusters of cases
Norway,Europe,31438,5799.04,4212,0,306,56.44,12,0,Community transmission
Montenegro,Europe,30780,49007.59,3121,629,434,691.01,43,5,Clusters of cases
Republic of Korea,Western Pacific,30733,599.44,2187,330,505,9.85,12,2,Clusters of cases
Luxembourg,Europe,29762,47544.8,3831,519,260,415.35,41,6,Community transmission
Australia,Western Pacific,27807,1090.48,96,18,907,35.57,0,0,Clusters of cases
Cameroon,Africa,23528,886.32,836,0,435,16.39,2,0,Community transmission
Finland,Europe,21216,3829.11,2114,469,375,67.68,6,0,Community transmission
Côte d’Ivoire,Africa,21126,800.89,181,27,129,4.89,1,0,Community transmission
Sri Lanka,South-East Asia,19771,923.31,3580,491,83,3.88,30,9,Clusters of cases
Uganda,Africa,17667,386.24,1878,236,168,3.67,24,0,Community transmission
Zambia,Africa,17394,946.15,297,21,356,19.36,6,0,Community transmission
Madagascar,Africa,17310,625.11,77,0,250,9.03,1,0,Community transmission
Senegal,Africa,15865,947.51,86,17,330,19.71,3,0,Community transmission
Sudan,Eastern Mediterranean,15839,361.21,1111,309,1193,27.21,74,8,Community transmission
Mozambique,Africa,14981,479.31,641,104,123,3.94,13,2,Community transmission
Angola,Africa,14413,438.53,1039,146,336,10.22,14,2,Community transmission
Namibia,Africa,13811,5435.46,362,99,143,56.28,5,0,Community transmission
French Polynesia,Western Pacific,12978,46200.18,1272,0,63,224.27,10,0,Sporadic cases
Guinea,Africa,12798,974.51,213,0,75,5.71,1,0,Community transmission
Latvia,Europe,12744,6756.45,2513,642,153,81.12,32,7,Clusters of cases
Maldives,South-East Asia,12578,23269.15,424,32,45,83.25,3,0,Clusters of cases
Democratic Republic of the Congo,Africa,12179,135.98,420,51,327,3.65,9,3,Community transmission
Tajikistan,Europe,11854,1242.86,281,39,86,9.02,1,0,Pending
French Guiana,Americas,11014,36875.34,170,27,70,234.36,0,0,Community transmission
Jamaica,Americas,10240,3458.1,460,89,237,80.04,8,2,Community transmission
Cabo Verde,Africa,10234,18406.91,454,82,104,187.05,2,0,Community transmission
Botswana,Africa,9594,4079.73,1369,0,31,13.18,4,0,Community transmission
Estonia,Europe,9375,7067.28,2227,299,87,65.58,7,0,Clusters of cases
Haiti,Americas,9214,808.07,46,3,232,20.35,0,0,Community transmission
Gabon,Africa,9131,4102.47,69,0,59,26.51,1,0,Community transmission
Zimbabwe,Africa,9120,613.61,334,0,265,17.83,8,0,Community transmission
Malta,Europe,8560,19386.56,643,0,104,235.54,9,0,Clusters of cases
Cyprus,Europe,8456,7003.72,1405,245,43,35.61,4,0,Clusters of cases
Guadeloupe,Americas,8225,20556.13,127,0,144,359.89,5,0,Community transmission
Mauritania,Africa,8075,1736.69,190,0,169,36.35,4,0,Community transmission
Cuba,Americas,7798,688.47,230,35,132,11.65,1,1,Clusters of cases
Réunion,Africa,7501,8378.08,620,0,35,39.09,6,0,Clusters of cases
Bahamas,Americas,7367,18733.92,204,0,163,414.5,8,0,Clusters of cases
Syrian Arab Republic,Eastern Mediterranean,7154,408.78,541,75,372,21.26,31,4,Community transmission
Guam,Western Pacific,6355,37653.68,501,24,104,616.21,11,1,Clusters of cases
Trinidad and Tobago,Americas,6261,4473.78,281,28,113,80.74,2,0,Community transmission
Andorra,Europe,6207,80333.92,482,65,76,983.63,1,0,Community transmission
Eswatini,Africa,6205,5348.38,112,20,119,102.57,0,0,Community transmission
Malawi,Africa,6003,313.8,39,0,185,9.67,0,0,Community transmission
Djibouti,Eastern Mediterranean,5661,5729.76,16,1,61,61.74,0,0,Clusters of cases
Congo,Africa,5632,1020.64,117,0,93,16.85,1,0,Community transmission
Rwanda,Africa,5620,433.9,226,34,46,3.55,4,0,Clusters of cases
Suriname,Americas,5289,9015.87,21,5,116,197.74,2,0,Sporadic cases
Iceland,Europe,5269,15440.61,83,18,26,76.19,1,0,Community transmission
Equatorial Guinea,Africa,5130,3656.49,26,9,85,60.59,0,0,Community transmission
Martinique,Americas,5091,13566.41,359,0,39,103.93,2,0,Community transmission
Belize,Americas,5056,12715.4,341,38,107,269.1,22,5,Community transmission
Mayotte,Africa,5036,18459.4,115,0,48,175.94,2,0,Clusters of cases
Guyana,Americas,5005,6363.22,281,29,143,181.81,5,0,Clusters of cases
Central African Republic,Africa,4911,1016.82,11,0,63,13.04,0,0,Community transmission
Aruba,Americas,4693,43955.94,54,0,45,421.48,2,0,Community transmission
Nicaragua,Americas,4583,691.82,50,0,159,24,1,0,Community transmission
Uruguay,Americas,4477,1288.82,594,100,69,19.86,5,0,Clusters of cases
Somalia,Eastern Mediterranean,4382,275.72,81,0,108,6.8,1,0,Sporadic cases
Mali,Africa,4206,207.7,338,37,143,7.06,4,0,Community transmission
Thailand,South-East Asia,3913,56.06,47,11,60,0.86,0,0,Clusters of cases
Gambia,Africa,3726,1541.79,24,10,123,50.9,1,1,Community transmission
South Sudan,Africa,3047,272.21,44,0,60,5.36,1,0,Community transmission
Benin,Africa,2916,240.53,72,0,43,3.55,0,0,Community transmission
Togo,Africa,2771,334.71,166,0,63,7.61,3,0,Community transmission
Burkina Faso,Africa,2703,129.31,68,17,68,3.25,0,0,Community transmission
Guinea-Bissau,Africa,2421,1230.18,2,0,43,21.85,0,0,Community transmission
Sierra Leone,Africa,2405,301.49,16,6,74,9.28,0,0,Community transmission
Yemen,Eastern Mediterranean,2073,69.5,1,0,605,20.28,2,0,Sporadic cases
Lesotho,Africa,2058,960.67,91,0,44,20.54,0,0,Community transmission
New Zealand,Western Pacific,1672,346.73,27,9,25,5.18,0,0,Clusters of cases
Chad,Africa,1633,99.42,42,7,101,6.15,1,0,Community transmission
Curaçao,Americas,1561,9512.9,346,0,3,18.28,1,0,Community transmission
Liberia,Africa,1554,307.26,56,15,82,16.21,0,0,Community transmission
United States Virgin Islands,Americas,1491,14278.19,57,9,23,220.25,0,0,Community transmission
San Marino,Europe,1427,42047.26,174,32,43,1267.02,1,0,Community transmission
Niger,Africa,1351,55.81,50,16,70,2.89,0,0,Community transmission
Viet Nam,Western Pacific,1306,13.42,41,1,35,0.36,0,0,Clusters of cases
Liechtenstein,Europe,1109,29079.37,139,15,8,209.77,4,0,Sporadic cases
Sao Tome and Principe,Africa,979,4467.08,15,5,17,77.57,1,0,Community transmission
Sint Maarten,Americas,973,22690.17,59,0,24,559.68,1,0,Community transmission
Gibraltar,Europe,943,27989.67,67,12,3,89.04,2,0,Clusters of cases
Jersey,Europe,806,7408.09,78,14,32,294.12,0,0,Community transmission
Other,Other,741,,0,0,13,,0,0,Not applicable
Turks and Caicos Islands,Americas,726,18750.97,10,0,6,154.97,0,0,Clusters of cases
Saint Martin,Americas,690,17848.37,35,0,12,310.41,0,0,Community transmission
Burundi,Africa,662,55.67,34,6,1,0.08,0,0,Community transmission
Papua New Guinea,Western Pacific,604,67.51,4,0,7,0.78,0,0,Community transmission
Comoros,Africa,592,680.77,18,0,7,8.05,0,0,Community transmission
Mongolia,Western Pacific,582,177.53,166,25,0,0,0,0,Sporadic cases
Monaco,Europe,581,14804.81,33,4,3,76.44,1,0,Sporadic cases
Eritrea,Africa,551,155.37,58,24,0,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Faroe Islands,Europe,499,10211.81,2,1,0,0,0,0,Sporadic cases
Mauritius,Africa,491,386.08,21,0,10,7.86,0,0,Sporadic cases
Bhutan,South-East Asia,379,491.18,4,1,0,0,0,0,Sporadic cases
Isle of Man,Europe,368,4327.78,5,2,25,294.01,0,0,No cases
Cambodia,Western Pacific,306,18.3,4,1,0,0,0,0,Sporadic cases
Guernsey,Europe,283,4478.13,1,1,13,205.71,0,0,Community transmission
Cayman Islands,Americas,261,3971.39,7,2,2,30.43,1,0,Sporadic cases
Barbados,Americas,255,887.34,6,2,7,24.36,0,0,Clusters of cases
Bermuda,Americas,227,3645.24,5,0,9,144.52,0,0,Sporadic cases
Saint Lucia,Americas,203,1105.5,43,0,2,10.89,0,0,Sporadic cases
Seychelles,Africa,161,1637.06,3,0,0,0,0,0,Sporadic cases
"Bonaire, Sint Eustatius and Saba",Americas,158,6025.7,3,0,3,114.41,0,0,Missing
Brunei Darussalam,Western Pacific,148,338.3,0,0,3,6.86,0,0,No cases
Antigua and Barbuda,Americas,139,1419.4,6,0,4,40.85,0,0,Sporadic cases
Saint Barthélemy,Americas,127,12847.75,18,0,0,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,104,1806.9,2,1,2,34.75,0,0,Pending
Saint Vincent and the Grenadines,Americas,84,757.17,6,0,0,0,0,0,Sporadic cases
British Virgin Islands,Americas,72,2381.19,0,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,72,1000.13,4,0,0,0,0,0,Clusters of cases
Grenada,Americas,41,364.37,9,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,35,39.04,0,0,2,2.23,0,0,Sporadic cases
New Caledonia,Western Pacific,32,112.08,2,0,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,30,22.75,0,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,25,3.44,1,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,19,357.2,0,0,0,0,0,0,No cases
Greenland,Europe,18,317.06,1,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,16,4593.74,1,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,16,23.29,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,14,2415.88,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,3,0,0,0,0,0,Sporadic cases
Anguilla,Americas,3,199.97,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,2,177.84,1,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,Sporadic cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
